#         t          x          y          z         vx         vy         vz
      0.000    -98.450   -120.030   -127.810    -27.700    174.120     92.490
      0.100   -100.836   -102.190   -117.628    -20.016    182.688    111.152
      0.200   -102.349    -83.474   -105.461    -10.248    191.614    132.177
      0.300   -102.737    -63.856    -91.058      2.486    200.762    155.885
      0.400   -101.635    -43.332    -74.147     19.555    209.714    182.350
      0.500    -98.505    -21.977    -54.493     43.050    217.381    210.714
      0.600    -92.570     -0.051    -32.088     75.649    221.139    237.398
      0.700    -82.865     21.798     -7.548    118.442    215.835    253.407
      0.800    -68.722     42.407     17.560    164.423    196.359    248.735
      0.900    -50.564     60.562     40.925    198.739    166.737    218.582
      1.000    -29.801     75.728     60.627    216.524    136.576    175.459
      1.100     -7.849     88.083     76.042    222.510    110.531    132.833
      1.200     14.364     98.060     87.462    221.757     89.008     95.559
      1.300     36.319    106.072     95.450    217.341     71.225     64.204
      1.400     57.733    112.450    100.565    210.938     56.347     38.096
      1.500     78.453    117.454    103.288    203.458     43.720     16.371
      1.600     98.396    121.283    104.020    195.414     32.861     -1.739
      1.700    117.522    124.097    103.090    187.106     23.419    -16.866
      1.800    135.813    126.024    100.770    178.713     15.133    -29.516
      1.900    153.266    127.171     97.290    170.347      7.805    -40.094
      2.000    169.888    127.626     92.839    162.078      1.285    -48.929
      2.100    185.689    127.463     87.578    153.950     -4.546    -56.289
      2.200    200.686    126.746     81.644    145.990     -9.783    -62.394
      2.300    214.896    125.532     75.153    138.214    -14.503    -67.427
      2.400    228.338    123.868     68.204    130.632    -18.770    -71.544
      2.500    241.032    121.798     60.883    123.244    -22.636    -74.875
      2.600    252.997    119.359     53.263    116.052    -26.147    -77.531
      2.700    264.252    116.585     45.406    109.052    -29.340    -79.606
      2.800    274.817    113.505     37.367    102.238    -32.248    -81.184
      2.900    284.709    110.148     29.191     95.605    -34.900    -82.334
      3.000    293.946    106.537     20.918     89.145    -37.319    -83.120
      3.100    302.546    102.695     12.582     82.850    -39.527    -83.596
      3.200    310.524     98.641      4.212     76.714    -41.542    -83.813
      3.300    317.896     94.395     -4.170     70.727    -43.381    -83.814
      3.400    324.677     89.973    -12.541     64.882    -45.058    -83.618
      3.500    330.880     85.391    -20.884     59.173    -46.585    -83.228
      3.600    336.518     80.663    -29.177     53.590    -47.974    -82.645
      3.700    341.604     75.803    -37.403     48.127    -49.235    -81.872
      3.800    346.149     70.822    -45.543     42.777    -50.375    -80.915
