#         t          x          y          z         vx         vy         vz
      0.000    -98.450   -120.030   -127.810    -27.700    174.120     92.490
      0.100   -100.829   -102.244   -118.115    -19.880    181.605    101.411
      0.200   -102.329    -83.702   -107.470    -10.117    189.231    111.488
      0.300   -102.723    -64.404    -95.750      2.233    196.733    122.910
      0.400   -101.709    -44.388    -82.813     18.057    203.582    135.840
      0.500    -98.879    -23.772    -68.506     38.538    208.748    150.293
      0.600    -93.698     -2.819    -52.699     65.073    210.300    165.850
      0.700    -85.509     17.940    -35.355     98.703    204.885    181.023
      0.800    -73.657     37.575    -16.688    138.345    187.812    192.329
      0.900    -57.842     54.755      2.650    177.954    155.790    194.417
      1.000    -38.587     68.186     21.521    207.144    112.838    183.009
      1.100    -17.210     77.279     38.795    220.391     69.005    162.474
      1.200      4.827     82.300     53.856    220.361     31.427    138.751
      1.300     26.457     83.963     66.580    212.244      1.841    115.724
      1.400     47.069     83.019     77.111    199.994    -20.728     94.898
      1.500     66.365     80.091     85.683    185.912    -37.826     76.535
      1.600     84.220     75.660     92.531    171.203    -50.805     60.430
      1.700    100.604     70.085     97.866    156.465    -60.686     46.261
      1.800    115.526     63.641    101.864    141.978    -68.207     33.714
      1.900    129.017     56.536    104.676    127.857    -73.895     22.518
      2.000    141.117     48.934    106.425    114.134    -78.131     12.451
      2.100    151.864     40.968    107.214    100.799    -81.188      3.335
      2.200    161.295     32.746    107.132     87.821    -83.269     -4.974
      2.300    169.444     24.356    106.254     75.162    -84.521    -12.590
      2.400    176.341     15.877    104.644     62.777    -85.055    -19.605
      2.500    182.011      7.377    102.359     50.625    -84.953    -26.096
      2.600    186.475     -1.085     99.448     38.661    -84.275    -32.123
      2.700    189.750     -9.452     95.955     26.843    -83.065    -37.737
      2.800    191.849    -17.673     91.919     15.128    -81.355    -42.981
      2.900    192.779    -25.699     87.376      3.470    -79.164    -47.891
      3.000    192.543    -33.482     82.356     -8.181    -76.498    -52.500
      3.100    191.140    -40.974     76.889    -19.878    -73.353    -56.832
      3.200    188.562    -48.127     71.002    -31.683    -69.708    -60.908
      3.300    184.795    -54.889     64.720    -43.665    -65.526    -64.743
      3.400    179.817    -61.203     58.066    -55.900    -60.750    -68.341
      3.500    173.598    -67.005     51.064    -68.476    -55.297    -71.698
      3.600    166.100    -72.223     43.739    -81.489    -49.053    -74.794
